0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18
62,59,45,71,15,53,52,23,23,0,0,0,0,0,0,38,65,48,25
13,73,12,26,19,13,43,21,21,0,0,0,51,0,0,8,19,12,40
60,58,34,66,13,42,56,48,16,0,13,0,27,0,15,23,63,47,8
64,72,45,64,20,72,60,76,10,0,0,0,0,0,9,23,73,56,7
60,71,53,49,25,67,70,44,21,100,9,13,13,0,30,33,76,50,12
69,92,52,60,20,66,59,38,46,0,15,0,0,0,28,31,76,41,10
58,65,46,70,18,65,56,31,30,0,0,33,32,0,28,25,67,35,9
53,72,37,55,19,60,57,68,10,0,0,0,0,0,11,19,62,47,20
60,58,34,66,13,42,56,48,16,0,13,0,27,0,15,23,63,47,8
88,74,23,66,13,68,67,48,56,0,0,0,0,0,40,19,63,34,0
62,59,28,73,13,23,48,32,62,0,0,0,77,0,22,38,49,63,23
88,87,44,87,18,29,100,69,18,0,21,45,45,0,30,42,66,63,13
91,78,30,66,45,80,89,40,0,0,0,0,0,0,0,73,73,61,0
60,58,34,66,13,42,56,48,16,0,13,0,27,0,15,23,63,47,8
74,71,57,57,32,98,77,42,12,0,14,29,0,0,14,35,88,56,8
61,48,27,62,10,26,53,27,84,0,0,0,0,0,30,37,55,45,0
60,58,34,66,13,42,56,48,16,0,13,0,27,0,15,23,63,47,8
69,92,52,60,20,66,59,38,46,0,15,0,0,0,28,31,76,41,10
62,59,28,73,13,23,48,32,62,0,0,0,77,0,22,38,49,63,23
63,61,36,58,13,36,53,31,27,0,0,27,35,0,10,33,54,44,13
80,77,52,64,31,90,72,100,16,0,28,39,0,0,28,37,94,49,23
51,58,37,68,14,25,49,27,23,0,26,0,56,0,40,28,61,41,0
88,74,23,66,13,68,67,48,56,0,0,0,0,0,40,19,63,34,0
70,85,38,60,27,52,61,26,23,0,0,0,38,0,11,34,73,46,22
74,71,57,57,32,98,77,42,12,0,14,29,0,0,14,35,88,56,8
69,64,35,71,13,54,55,24,28,0,0,0,68,0,20,28,58,45,0
68,60,35,75,12,74,66,50,0,0,0,0,0,0,73,34,62,57,0
64,73,41,64,20,78,58,65,7,0,0,0,0,0,6,28,71,51,5
58,65,46,70,18,65,56,31,30,0,0,33,32,0,28,25,67,35,9
51,58,37,68,14,25,49,27,23,0,26,0,56,0,40,28,61,41,0
43,44,38,48,12,75,45,16,0,0,0,0,0,0,0,0,61,35,0
79,71,41,58,20,45,58,37,21,0,0,0,51,0,0,51,78,38,0
73,61,38,100,16,34,82,22,0,0,47,100,0,0,0,40,62,22,0
69,68,46,61,22,67,55,65,19,0,14,19,28,0,33,33,76,47,11
74,71,36,57,17,35,71,28,13,0,7,14,33,0,16,33,59,39,11
64,72,45,64,20,72,60,76,10,0,0,0,0,0,9,23,73,56,7
69,66,38,65,16,38,63,24,16,0,0,11,32,0,19,25,63,46,6
74,71,57,57,32,98,77,42,12,0,14,29,0,0,14,35,88,56,8
71,58,27,69,20,70,53,25,54,0,0,0,0,0,0,18,60,37,40
60,58,34,66,13,42,56,48,16,0,13,0,27,0,15,23,63,47,8
66,66,40,69,16,73,63,63,5,0,0,0,0,0,41,28,67,56,3
73,61,38,100,16,34,82,22,0,0,47,100,0,0,0,40,62,22,0
66,65,34,70,13,29,52,30,44,0,0,21,53,0,23,34,53,53,15
51,58,37,68,14,25,49,27,23,0,26,0,56,0,40,28,61,41,0
71,76,52,53,23,73,63,38,18,0,21,0,0,0,26,38,77,43,26
74,71,57,57,32,98,77,42,12,0,14,29,0,0,14,35,88,56,8
69,66,38,65,16,38,63,24,16,0,0,11,32,0,19,25,63,46,6
69,66,38,65,16,38,63,24,16,0,0,11,32,0,19,25,63,46,6
64,56,25,61,11,38,43,32,0,0,0,0,85,0,24,11,49,40,0
64,72,45,64,20,72,60,76,10,0,0,0,0,0,9,23,73,56,7
71,76,52,53,23,73,63,38,18,0,21,0,0,0,26,38,77,43,26
51,58,37,68,14,25,49,27,23,0,26,0,56,0,40,28,61,41,0
88,74,23,66,13,68,67,48,56,0,0,0,0,0,40,19,63,34,0
71,76,52,53,23,73,63,38,18,0,21,0,0,0,26,38,77,43,26
58,65,46,70,18,65,56,31,30,0,0,33,32,0,28,25,67,35,9
6,60,11,22,12,12,41,15,27,0,0,27,35,0,10,12,11,15,13
58,65,46,70,18,65,56,31,30,0,0,33,32,0,28,25,67,35,9
70,85,38,60,27,52,61,26,23,0,0,0,38,0,11,34,73,46,22
85,75,32,63,35,65,83,36,4,0,2,4,11,0,5,59,68,53,3
72,73,22,49,20,84,72,31,28,0,0,0,71,0,21,61,77,29,0
65,71,42,53,17,35,71,36,81,0,0,0,100,0,58,22,66,82,0
70,85,38,60,27,52,61,26,23,0,0,0,38,0,11,34,73,46,22
72,73,22,49,20,84,72,31,28,0,0,0,71,0,21,61,77,29,0
51,58,37,68,14,25,49,27,23,0,26,0,56,0,40,28,61,41,0
73,61,38,100,16,34,82,22,0,0,47,100,0,0,0,40,62,22,0
10,56,9,28,16,11,35,19,16,0,13,0,27,0,15,23,17,10,84
61,48,27,62,10,26,53,27,84,0,0,0,0,0,30,37,55,45,0
64,72,45,64,20,72,60,76,10,0,0,0,0,0,9,23,73,56,7
61,48,27,62,10,26,53,27,84,0,0,0,0,0,30,37,55,45,0
88,87,44,87,18,29,100,69,18,0,21,45,45,0,30,42,66,63,13
51,58,37,68,14,25,49,27,23,0,26,0,56,0,40,28,61,41,0
69,66,38,65,16,38,63,24,16,0,0,11,32,0,19,25,63,46,6
60,71,53,49,25,67,70,44,21,100,9,13,13,0,30,33,76,50,12
72,73,22,49,20,84,72,31,28,0,0,0,71,0,21,61,77,29,0
61,48,27,62,10,26,53,27,84,0,0,0,0,0,30,37,55,45,0
57,65,39,58,18,44,52,26,21,0,11,5,42,0,9,27,63,31,9
78,79,54,57,27,65,84,40,18,54,5,15,29,0,21,36,76,45,3
88,74,23,66,13,68,67,48,56,0,0,0,0,0,40,19,63,34,0
69,66,38,65,16,38,63,24,16,0,0,11,32,0,19,25,63,46,6
70,71,40,67,14,35,56,28,27,0,0,43,29,0,25,31,57,44,8
64,72,45,64,20,72,60,76,10,0,0,0,0,0,9,23,73,56,7
72,73,22,49,20,84,72,31,28,0,0,0,71,0,21,61,77,29,0
78,79,54,57,27,65,84,40,18,54,5,15,29,0,21,36,76,45,3
60,58,34,66,13,42,56,48,16,0,13,0,27,0,15,23,63,47,8
62,59,28,73,13,23,48,32,62,0,0,0,77,0,22,38,49,63,23
63,75,43,60,30,78,69,41,91,0,0,76,0,0,65,44,88,53,0
62,59,45,71,15,53,52,23,23,0,0,0,0,0,0,38,65,48,25
64,72,45,64,20,72,60,76,10,0,0,0,0,0,9,23,73,56,7
36,61,25,38,12,17,38,19,27,0,0,0,0,0,16,15,36,28,0
71,63,38,82,16,36,72,23,8,0,23,55,16,0,9,32,62,34,3
69,65,46,66,18,53,55,29,25,0,11,0,46,0,10,32,74,37,7
58,65,46,70,18,65,56,31,30,0,0,33,32,0,28,25,67,35,9
69,68,44,61,20,53,70,44,17,27,9,7,28,0,18,29,69,46,5
64,72,45,64,20,72,60,76,10,0,0,0,0,0,9,23,73,56,7
70,85,38,60,27,52,61,26,23,0,0,0,38,0,11,34,73,46,22
62,59,45,71,15,53,52,23,23,0,0,0,0,0,0,38,65,48,25
7,48,24,24,8,40,21,12,27,0,0,27,35,0,10,33,11,19,13
71,58,27,69,20,70,53,25,54,0,0,0,0,0,0,18,60,37,40
69,55,48,89,16,52,37,18,0,0,0,0,0,0,51,23,63,43,0
62,59,45,71,15,53,52,23,23,0,0,0,0,0,0,38,65,48,25
40,62,51,54,11,38,45,33,0,0,0,0,84,0,24,11,45,54,0
71,58,27,69,20,70,53,25,54,0,0,0,0,0,0,18,60,37,40
62,59,28,73,13,23,48,32,62,0,0,0,77,0,22,38,49,63,23
69,66,38,65,16,38,63,24,16,0,0,11,32,0,19,25,63,46,6
60,58,34,66,13,42,56,48,16,0,13,0,27,0,15,23,63,47,8
80,77,52,64,31,90,72,100,16,0,28,39,0,0,28,37,94,49,23
69,92,52,60,20,66,59,38,46,0,15,0,0,0,28,31,76,41,10
63,78,49,65,19,65,57,34,38,0,7,16,16,0,28,28,71,38,9
62,71,42,58,25,65,63,37,73,0,0,57,0,0,52,38,80,52,0
69,92,52,60,20,66,59,38,46,0,15,0,0,0,28,31,76,41,10
62,59,28,73,13,23,48,32,62,0,0,0,77,0,22,38,49,63,23
58,65,46,70,18,65,56,31,30,0,0,33,32,0,28,25,67,35,9
68,60,35,75,12,74,66,50,0,0,0,0,0,0,73,34,62,57,0
69,92,52,60,20,66,59,38,46,0,15,0,0,0,28,31,76,41,10
63,70,41,64,16,55,57,52,22,0,10,0,13,0,16,25,68,47,8
62,61,39,53,12,27,45,26,20,0,0,0,0,0,14,22,57,49,0
91,78,30,66,45,80,89,40,0,0,0,0,0,0,0,73,73,61,0
71,76,52,53,23,73,63,38,18,0,21,0,0,0,26,38,77,43,26
74,71,36,57,17,35,71,28,13,0,7,14,33,0,16,33,59,39,11
61,48,27,62,10,26,53,27,84,0,0,0,0,0,30,37,55,45,0
70,71,40,67,14,35,56,28,27,0,0,43,29,0,25,31,57,44,8
60,58,34,66,13,42,56,48,16,0,13,0,27,0,15,23,63,47,8
58,65,46,70,18,65,56,31,30,0,0,33,32,0,28,25,67,35,9
74,71,57,57,32,98,77,42,12,0,14,29,0,0,14,35,88,56,8
63,61,36,58,13,36,53,31,27,0,0,27,35,0,10,33,54,44,13
61,48,27,62,10,26,53,27,84,0,0,0,0,0,30,37,55,45,0
91,78,30,66,45,80,89,40,0,0,0,0,0,0,0,73,73,61,0
72,73,22,49,20,84,72,31,28,0,0,0,71,0,21,61,77,29,0
68,60,35,75,12,74,66,50,0,0,0,0,0,0,73,34,62,57,0
60,58,34,66,13,42,56,48,16,0,13,0,27,0,15,23,63,47,8
71,58,27,69,20,70,53,25,54,0,0,0,0,0,0,18,60,37,40
69,66,38,65,16,38,63,24,16,0,0,11,32,0,19,25,63,46,6
63,61,36,58,13,36,53,31,27,0,0,27,35,0,10,33,54,44,13
33,58,25,41,13,28,33,23,22,0,0,0,56,0,29,18,37,28,36
68,60,35,75,12,74,66,50,0,0,0,0,0,0,73,34,62,57,0
80,77,52,64,31,90,72,100,16,0,28,39,0,0,28,37,94,49,23
80,77,52,64,31,90,72,100,16,0,28,39,0,0,28,37,94,49,23
68,60,35,75,12,74,66,50,0,0,0,0,0,0,73,34,62,57,0
64,56,25,61,11,38,43,32,0,0,0,0,85,0,24,11,49,40,0
60,58,34,66,13,42,56,48,16,0,13,0,27,0,15,23,63,47,8
63,75,43,60,30,78,69,41,91,0,0,76,0,0,65,44,88,53,0
99,100,59,35,100,92,85,50,0,0,0,0,0,0,0,36,78,24,0
70,71,40,67,14,35,56,28,27,0,0,43,29,0,25,31,57,44,8
74,59,47,74,14,38,53,22,22,0,0,56,0,0,16,32,59,54,0
74,71,36,57,17,35,71,28,13,0,7,14,33,0,16,33,59,39,11
74,74,58,67,28,67,71,34,0,0,0,0,0,0,65,61,77,66,0
99,100,59,35,100,92,85,50,0,0,0,0,0,0,0,36,78,24,0
43,44,38,48,12,75,45,16,0,0,0,0,0,0,0,0,61,35,0
51,58,37,68,14,25,49,27,23,0,26,0,56,0,40,28,61,41,0
69,66,38,65,16,38,63,24,16,0,0,11,32,0,19,25,63,46,6
74,71,57,57,32,98,77,42,12,0,14,29,0,0,14,35,88,56,8
60,58,34,66,13,42,56,48,16,0,13,0,27,0,15,23,63,47,8
58,65,46,70,18,65,56,31,30,0,0,33,32,0,28,25,67,35,9
70,71,40,67,14,35,56,28,27,0,0,43,29,0,25,31,57,44,8
51,58,37,68,14,25,49,27,23,0,26,0,56,0,40,28,61,41,0
88,74,23,66,13,68,67,48,56,0,0,0,0,0,40,19,63,34,0
68,60,35,75,12,74,66,50,0,0,0,0,0,0,73,34,62,57,0
64,72,45,64,20,72,60,76,10,0,0,0,0,0,9,23,73,56,7
74,59,47,74,14,38,53,22,22,0,0,56,0,0,16,32,59,54,0
69,92,52,60,20,66,59,38,46,0,15,0,0,0,28,31,76,41,10
36,61,17,48,12,21,40,23,62,0,0,0,77,0,36,25,30,37,23
69,66,38,65,16,38,63,24,16,0,0,11,32,0,19,25,63,46,6
11,61,6,25,13,6,26,17,0,0,0,0,85,0,24,6,11,10,0
40,62,51,54,11,38,45,33,0,0,0,0,84,0,24,11,45,54,0
80,77,52,64,31,90,72,100,16,0,28,39,0,0,28,37,94,49,23
62,59,45,71,15,53,52,23,23,0,0,0,0,0,0,38,65,48,25
68,60,35,75,12,74,66,50,0,0,0,0,0,0,73,34,62,57,0
78,79,54,57,27,65,84,40,18,54,5,15,29,0,21,36,76,45,3
70,71,40,67,14,35,56,28,27,0,0,43,29,0,25,31,57,44,8
58,65,46,70,18,65,56,31,30,0,0,33,32,0,28,25,67,35,9
67,65,49,62,19,65,61,31,57,50,4,6,6,0,48,16,70,41,6
69,65,46,66,18,53,55,29,25,0,11,0,46,0,10,32,74,37,7
99,100,59,35,100,92,85,50,0,0,0,0,0,0,0,36,78,24,0
66,67,48,62,19,63,57,30,20,0,10,0,0,0,13,38,71,45,25
62,67,32,65,17,69,54,40,8,0,6,0,13,0,7,33,65,42,4
70,85,38,60,27,52,61,26,23,0,0,0,38,0,11,34,73,46,22
61,48,27,62,10,26,53,27,84,0,0,0,0,0,30,37,55,45,0
60,71,53,49,25,67,70,44,21,100,9,13,13,0,30,33,76,50,12
70,85,38,60,27,52,61,26,23,0,0,0,38,0,11,34,73,46,22
80,67,32,79,39,73,88,31,100,0,0,0,0,0,72,34,78,34,0
78,79,54,57,27,65,84,40,18,54,5,15,29,0,21,36,76,45,3
64,72,45,64,20,72,60,76,10,0,0,0,0,0,9,23,73,56,7
51,58,37,68,14,25,49,27,23,0,26,0,56,0,40,28,61,41,0
60,58,34,66,13,42,56,48,16,0,13,0,27,0,15,23,63,47,8
91,78,30,66,45,80,89,40,0,0,0,0,0,0,0,73,73,61,0
69,55,48,89,16,52,37,18,0,0,0,0,0,0,51,23,63,43,0
72,73,22,49,20,84,72,31,28,0,0,0,71,0,21,61,77,29,0
71,76,52,53,23,73,63,38,18,0,21,0,0,0,26,38,77,43,26
62,50,39,56,14,0,78,18,0,0,0,0,0,0,0,96,73,72,0
62,59,28,73,13,23,48,32,62,0,0,0,77,0,22,38,49,63,23
74,71,36,57,17,35,71,28,13,0,7,14,33,0,16,33,59,39,11
54,63,39,55,10,45,54,40,0,0,0,0,0,0,0,21,49,52,0
64,72,45,64,20,72,60,76,10,0,0,0,0,0,9,23,73,56,7
10,74,10,21,11,11,34,13,28,0,0,0,68,0,20,16,13,13,0
